0040,wt,1.51
0042,wt,1.61
0043,wt,1.51
0044,wt,1.51
0045,wt,1.61
0046,wt,4.13
0047,rd1_3,4.13
0048,rd1_3,4.13
0049,rd1_3,4.13
0050,rd1_3,4.13
0051,wt,1.37
0052,wt,1.37
0053,wt,1.37
0054,wt,1.37
0055,wt,1.37
0059,wt,1.67
0060,wt,1.67
0061,wt,1.67
0062,wt,1.38
0063,wt,1.38
0064,wt,1.38
0065,wt,1.38
0066,wt,2.13
0067,rd1,1.63
0068,rd1,1.63
0069,rd1,1.63
0070,wt,1.77
0071,wt,1.77
0072,wt,1.77
0073,rd1_3,3.23
0074,rd1_3,4.77
0075,rd1_3,7.03
0076,rd1_3,7.03
0077,rd1_3,6.23
0078,rd1_3,6.23
0079,rd1_3,3.47
0080,rd1_3,4.93
0081,rd1_3,7.1
0082,rd1_3,7.1
0083,rd1_3,6.4
0084,rd1_3,6.4
0085,rd1_3,4.8
0086,rd1_3,6.07
0087,rd1_3,8.17
0088,rd1_3,8.17
0089,rd1_3,7.43
0090,rd1_3,7.43
0091,rd1_3,3.43
0092,rd1_3,3.87
0093,rd1_3,5.43
0094,rd1_3,7.27
0095,rd1_3,7.27
0096,rd1_3,6.47
0097,rd1_3,6.47
0098,wt,2.27
0099,wt,2.27
0100,wt,2.27
0101,wt,1.13
0102,wt,1.13
0103,wt,2.3
0104,wt,2.3
0105,wt,2.3
0106,wt,1.27
0107,wt,1.27
0108,wt,3.27
0109,wt,3.27
0110,wt,3.27
0111,wt,0.77
0112,wt,0.77
0113,rd1,2.43
0114,rd1,2.43
0115,rd1,2.43
0116,rd1,2.43
0117,rd1,2.43
0118,rd1,2.43
0119,rd1,2.7
0120,rd1,2.7
0121,rd1,2.7
0122,rd1,2.7
0123,rd1,2.6
0124,rd1,2.6
0125,rd1,2.6
0126,rd1,2.6
0127,rd1,2.6
0128,wt,4.13
0129,wt,4.13
0130,wt,4.13
0131,wt,4.13
0132,wt,4.13
0133,wt,4.13
0134,rd1,2.6
0135,rd1,2.6
0136,rd1,2.6
0137,rd1,2.6
0138,rd1,2.6
0139,wt,4.13
0140,wt,4.13
0141,wt,4.13
0142,wt,4.13
0143,wt,4.13
0144,wt,4.13
0145,wt,2.5
0146,wt,2.5
0147,wt,2.5
0148,wt,2.47
0149,wt,2.47
0150,wt,2.47
0151,wt,2.47
0152,wt,2.47
0153,wt,2.47
